num_nodes,damping,iteration,diff,convergence_iteration
5,0.15,0,0.0,6
5,0.15,1,0.07500000000000001,6
5,0.15,2,0.005624999999999991,6
5,0.15,3,0.0004218749999999605,6
5,0.15,4,3.164062499999565e-05,6
5,0.15,5,2.373046875003837e-06,6
5,0.15,6,1.7797851564749223e-07,6
5,0.25,0,0.0,7
5,0.25,1,0.125,7
5,0.25,2,0.015625,7
5,0.25,3,0.001953125,7
5,0.25,4,0.000244140625,7
5,0.25,5,3.0517578125e-05,7
5,0.25,6,3.814697265625e-06,7
5,0.25,7,4.76837158203125e-07,7
5,0.35,0,0.0,8
5,0.35,1,0.17499999999999993,8
5,0.35,2,0.030624999999999958,8
5,0.35,3,0.0053593749999999996,8
5,0.35,4,0.0009378906249999375,8
5,0.35,5,0.00016413085937494465,8
5,0.35,6,2.8722900390576456e-05,8
5,0.35,7,5.026507568228755e-06,8
5,0.35,8,8.796388243914599e-07,8
5,0.45,0,0.0,10
5,0.45,1,0.22500000000000003,10
5,0.45,2,0.050624999999999976,10
5,0.45,3,0.011390624999999988,10
5,0.45,4,0.0025628906250000916,10
5,0.45,5,0.0005766503906250442,10
5,0.45,6,0.00012974633789064605,10
5,0.45,7,2.9192926025434218e-05,10
5,0.45,8,6.568408355722699e-06,10
5,0.45,9,1.4778918799862595e-06,10
5,0.45,10,3.325256728858861e-07,10
5,0.55,0,0.0,11
5,0.55,1,0.27499999999999997,11
5,0.55,2,0.075625,11
5,0.55,3,0.020796875000000048,11
5,0.55,4,0.005719140625000008,11
5,0.55,5,0.0015727636718749771,11
5,0.55,6,0.0004325100097655188,11
5,0.55,7,0.00011894025268549546,11
5,0.55,8,3.2708569488615336e-05,11
5,0.55,9,8.994856609378932e-06,11
5,0.55,10,2.473585567541736e-06,11
5,0.55,11,6.802360311697342e-07,11
5,0.65,0,0.0,13
5,0.65,1,0.32500000000000007,13
5,0.65,2,0.10562500000000008,13
5,0.65,3,0.03432812500000004,13
5,0.65,4,0.011156640624999992,13
5,0.65,5,0.003625908203124917,13
5,0.65,6,0.0011784201660156035,13
5,0.65,7,0.0003829865539550781,13
5,0.65,8,0.00012447063003540038,13
5,0.65,9,4.0452954761516224e-05,13
5,0.65,10,1.3147210297492773e-05,13
5,0.65,11,4.272843346697641e-06,13
5,0.65,12,1.3886740877211423e-06,13
5,0.65,13,4.5131907855378017e-07,13
5,0.75,0,0.0,15
5,0.75,1,0.375,15
5,0.75,2,0.140625,15
5,0.75,3,0.052734375,15
5,0.75,4,0.019775390625,15
5,0.75,5,0.007415771484375,15
5,0.75,6,0.002780914306640625,15
5,0.75,7,0.0010428428649902344,15
5,0.75,8,0.0003910660743713379,15
5,0.75,9,0.0001466497778892517,15
5,0.75,10,5.499366670846939e-05,15
5,0.75,11,2.062262501567602e-05,15
5,0.75,12,7.733484380878508e-06,15
5,0.75,13,2.9000566428294405e-06,15
5,0.75,14,1.0875212410610402e-06,15
5,0.75,15,4.078204653978901e-07,15
5,0.85,0,0.0,17
5,0.85,1,0.42499999999999993,17
5,0.85,2,0.18062499999999998,17
5,0.85,3,0.07676562499999984,17
5,0.85,4,0.03262539062499986,17
5,0.85,5,0.013865791015625017,17
5,0.85,6,0.005892961181640732,17
5,0.85,7,0.0025045085021973557,17
5,0.85,8,0.0010644161134338859,17
5,0.85,9,0.0004523768482093127,17
5,0.85,10,0.0001922601604888996,17
5,0.85,11,8.17105682076602e-05,17
5,0.85,12,3.472699148820979e-05,17
5,0.85,13,1.4758971382644592e-05,17
5,0.85,14,6.272562837639217e-06,17
5,0.85,15,2.6658392058842573e-06,17
5,0.85,16,1.132981662377297e-06,17
5,0.85,17,4.815172065519846e-07,17
5,0.95,0,0.0,19
5,0.95,1,0.4749999999999999,19
5,0.95,2,0.22562499999999996,19
5,0.95,3,0.10717187499999997,19
5,0.95,4,0.050906640625,19
5,0.95,5,0.024180654296874993,19
5,0.95,6,0.011485810791015627,19
5,0.95,7,0.005455760125732401,19
5,0.95,8,0.002591486059722925,19
5,0.95,9,0.001230955878368467,19
5,0.95,10,0.0005847040422250482,19
5,0.95,11,0.00027773442005696314,19
5,0.95,12,0.00013192384952703806,19
5,0.95,13,6.266382852532226e-05,19
5,0.95,14,2.9765318549535014e-05,19
5,0.95,15,1.4138526311047173e-05,19
5,0.95,16,6.7157999977252025e-06,19
5,0.95,17,3.19000499887645e-06,19
5,0.95,18,1.5152523744621504e-06,19
5,0.95,19,7.197448779194815e-07,19
15,0.15,0,0.0,6
15,0.15,1,0.05399999999999996,6
15,0.15,2,0.005594166666666643,6
15,0.15,3,0.0005478333333333099,6
15,0.15,4,4.8296145833355564e-05,6
15,0.15,5,4.604794270841872e-06,6
15,0.15,6,4.844325911662617e-07,6
15,0.25,0,0.0,8
15,0.25,1,0.08999999999999998,8
15,0.25,2,0.015539351851851839,8
15,0.25,3,0.0025362654320987346,8
15,0.25,4,0.0003726554462448392,8
15,0.25,5,5.921803331830622e-05,8
15,0.25,6,1.0383071655246934e-05,8
15,0.25,7,1.5410269359403261e-06,8
15,0.25,8,2.3217295714444974e-07,8
15,0.35,0,0.0,9
15,0.35,1,0.12599999999999995,9
15,0.35,2,0.030457129629629626,9
15,0.35,3,0.006959512345679042,9
15,0.35,4,0.001431593162294291,9
15,0.35,5,0.00031848879551399367,9
15,0.35,6,7.817971181858785e-05,9
15,0.35,7,1.6244504907697577e-05,9
15,0.35,8,3.426383092336449e-06,9
15,0.35,9,8.413222937486697e-07,9
15,0.45,0,0.0,11
15,0.45,1,0.16199999999999998,11
15,0.45,2,0.050347499999999996,11
15,0.45,3,0.014791499999999957,11
15,0.45,4,0.003911987812500052,11
15,0.45,5,0.0011189650078125418,11
15,0.45,6,0.0003531513589453694,11
15,0.45,7,9.434475600383907e-05,11
15,0.45,8,2.5585368344044346e-05,11
15,0.45,9,8.077233206220391e-06,11
15,0.45,10,2.486109319813079e-06,11
15,0.45,11,7.741966706609205e-07,11
15,0.55,0,0.0,14
15,0.55,1,0.19799999999999995,14
15,0.55,2,0.07521046296296295,14
15,0.55,3,0.027006154320987616,14
15,0.55,4,0.008729677421553457,14
15,0.55,5,0.003051879514864117,14
15,0.55,6,0.0011772316674937416,14
15,0.55,7,0.00038438726932991246,14
15,0.55,8,0.00012740693834048522,14
15,0.55,9,4.916026366467985e-05,14
15,0.55,10,1.849362209339206e-05,14
15,0.55,11,7.038874666499828e-06,14
15,0.55,12,2.745292470039684e-06,14
15,0.55,13,1.196258485859636e-06,14
15,0.55,14,4.82894826903113e-07,14
15,0.65,0,0.0,16
15,0.65,1,0.23400000000000004,16
15,0.65,2,0.10504601851851855,16
15,0.65,3,0.04457740123456793,16
15,0.65,4,0.01702945952031898,16
15,0.65,5,0.007035917198356105,16
15,0.65,6,0.0032074946376352276,16
15,0.65,7,0.0012377235825626054,16
15,0.65,8,0.00048483997111789523,16
15,0.65,9,0.00022109056413701506,16
15,0.65,10,9.829437154383613e-05,16
15,0.65,11,4.421407777976255e-05,16
15,0.65,12,2.0379645470545993e-05,16
15,0.65,13,1.049503048598105e-05,16
15,0.65,14,5.006819015968e-06,16
15,0.65,15,2.260838192970349e-06,16
15,0.65,16,9.991967313549566e-07,16
15,0.75,0,0.0,20
15,0.75,1,0.2699999999999999,20
15,0.75,2,0.13985416666666664,20
15,0.75,3,0.06847916666666669,20
15,0.75,4,0.030185091145833308,20
15,0.75,5,0.014389982096354122,20
15,0.75,6,0.0075692592366535805,20
15,0.75,7,0.0033702259089151525,20
15,0.75,8,0.0015232867717424776,20
15,0.75,9,0.0008014960171699621,20
15,0.75,10,0.00041115702766488654,20
15,0.75,11,0.00021339662432819442,20
15,0.75,12,0.00011349363492372394,20
15,0.75,13,6.743828109200684e-05,20
15,0.75,14,3.7122104375484494e-05,20
15,0.75,15,1.934140782797883e-05,20
15,0.75,16,9.863192575017277e-06,20
15,0.75,17,4.640575307923028e-06,20
15,0.75,18,2.213876561362599e-06,20
15,0.75,19,1.0123394722158507e-06,20
15,0.75,20,5.16602476689082e-07,20
15,0.85,0,0.0,24
15,0.85,1,0.30600000000000005,24
15,0.85,2,0.1796349074074074,24
15,0.85,3,0.09968537654320989,24
15,0.85,4,0.04979928884130661,24
15,0.85,5,0.026905964522644467,24
15,0.85,6,0.016039814944624586,24
15,0.85,7,0.008093989733805807,24
15,0.85,8,0.0041461305172785165,24
15,0.85,9,0.002472409077724825,24
15,0.85,10,0.0014374221770677605,24
15,0.85,11,0.0008455160007144642,24
15,0.85,12,0.000509639937170063,24
15,0.85,13,0.0003432069725901009,24
15,0.85,14,0.00021411143393517199,24
15,0.85,15,0.0001264308382275224,24
15,0.85,16,7.307016866310925e-05,24
15,0.85,17,3.896297271368393e-05,24
15,0.85,18,2.1066448411502514e-05,24
15,0.85,19,1.0917463657739851e-05,24
15,0.85,20,6.314074914789969e-06,24
15,0.85,21,3.85156454240157e-06,24
15,0.85,22,2.2100669691930974e-06,24
15,0.85,23,1.4428711014834172e-06,24
15,0.85,24,9.356874035928997e-07,24
15,0.95,0,0.0,30
15,0.95,1,0.342,30
15,0.95,2,0.22438824074074076,30
15,0.95,3,0.13916995679012345,30
15,0.95,4,0.07770372865612132,30
15,0.95,5,0.046921508186074566,30
15,0.95,6,0.03126276822437385,30
15,0.95,7,0.017631749466629397,30
15,0.95,8,0.010094397577895101,30
15,0.95,9,0.006727635377458763,30
15,0.95,10,0.004371506583463381,30
15,0.95,11,0.002873910942706436,30
15,0.95,12,0.0019360635489190682,30
15,0.95,13,0.001457192532030074,30
15,0.95,14,0.0010160272923844076,30
15,0.95,15,0.000670537716153493,30
15,0.95,16,0.00043312672637907217,30
15,0.95,17,0.00025812593201560326,30
15,0.95,18,0.000155982384999016,30
15,0.95,19,9.034636146389684e-05,30
15,0.95,20,5.839871914518728e-05,30
15,0.95,21,3.981396689467162e-05,30
15,0.95,22,2.553338445718603e-05,30
15,0.95,23,1.863095708438088e-05,30
15,0.95,24,1.3503398762109917e-05,30
15,0.95,25,9.020723987873333e-06,30
15,0.95,26,5.992183892612746e-06,30
15,0.95,27,3.731783029417221e-06,30
15,0.95,28,2.2398468376080838e-06,30
15,0.95,29,1.2918689462643879e-06,30
15,0.95,30,7.84844140084423e-07,30
25,0.15,0,0.0,6
25,0.15,1,0.07123714285714286,6
25,0.15,2,0.005842838571428574,6
25,0.15,3,0.0005444021292857065,6
25,0.15,4,3.692851322410068e-05,6
25,0.15,5,2.407292493719626e-06,6
25,0.15,6,1.8126724332656607e-07,6
25,0.25,0,0.0,7
25,0.25,1,0.11872857142857143,7
25,0.25,2,0.01623010714285715,7
25,0.25,3,0.002520380228174607,7
